Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_Rect_L13.0mm_W6.0mm_P10.00mm_FKS3_FKP3_MKS4,1,100nF,
C2,CP_Elec_6.3x7.7,1,220uF,
C3,0603,1,100nF,
FL2,L_CommonMode_PROD_PDUUAT98_L17mm_W12mm_Px7mm_Py8mm,1,10mH,
J1,TestPoint_Bridge_Pitch5.08mm_Drill1.3mm,1,N,
J2,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Fan,
J3,TestPoint_Bridge_Pitch5.08mm_Drill1.3mm,1,L,
J4,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,SSR,
J5,PinHeader_1x04_P2.54mm_Vertical,1,LCD,
J7,PinHeader_2x03_P2.54mm_Vertical,1,uCont,
PS1,Converter_ACDC_HiLink_HLK-PMxx,1,HLK-PM01,
"Q1, Q2, Q3",SOT-23,3,BSS138,
R1,0603,1,68,
"R2, R4, R6",0603,3,470,
"R3, R5, R7",0603,3,10K,
RV1,RV_Disc_D12mm_W6.7mm_P7.5mm,1,10D561K,
