Designator,Mid X,Mid Y,Rotation,Layer
C1,83.6,5.525,90.0,top
C2,24.6,10.525,270.0,top
C3,12.5,5.25,180.0,bottom
FL2,76.1,6.525,180.0,top
J1,100.0,18.94,270.0,top
J2,17.5,17.0,180.0,top
J3,100.0,2.06,90.0,top
J4,8.25,16.975,180.0,top
J5,10.695,2.25,90.0,top
J7,2.025,7.08,0.0,top
PS1,61.8125,8.0,180.0,top
Q1,17.5,11.75,90.0,top
Q2,8.25,11.6875,90.0,top
Q3,14.2125,8.25,180.0,bottom
R1,15.775,6.0,270.0,top
R2,14.75,10.0,90.0,top
R3,17.5,8.75,180.0,top
R4,5.5,12.1,90.0,top
R5,8.25,8.75,180.0,top
R6,10.2,9.2,0.0,bottom
R7,10.25,7.25,180.0,bottom
RV1,93.8,14.275,270.0,top
